"""ID""","""Name""","""Desc""","""NameStrDict""","""DescStrDict""","""Icon""","""Model""","""Quality""","""DropItem""","""DropScale""","""StackNum"""
1,Weapon_3000,,80101,1,Equip/Weapon_HW_01,Weapon_HW_01_SM,2,Model/Weapon_HW_01_SM,0.6,1
2,Weapon_3001,,80102,1,Equip/Weapon_HW_02,Weapon_HW_02_SM,2,Model/Weapon_HW_02_SM,0.6,1
3,Weapon_3002,,80103,1,Equip/Weapon_HW_03,Weapon_HW_03_SM,2,Model/Weapon_HW_03_SM,0.6,1
4,Weapon_3003,,80104,1,Equip/Weapon_HW_04,Weapon_HW_04_SM,2,Model/Weapon_HW_04_SM,0.6,1
5,Weapon_3004,,80105,1,Equip/Weapon_HW_05,Weapon_HW_05_SM,2,Model/Weapon_HW_05_SM,0.6,1
6,Weapon_3005,,80106,1,Equip/Weapon_HW_06,Weapon_HW_06_SM,2,Model/Weapon_HW_06_SM,0.6,1
7,Weapon_3006,,80107,1,Equip/Weapon_HW_07,Weapon_HW_07_SM,2,Model/Weapon_HW_07_SM,0.6,1
8,Weapon_3007,,80108,1,Equip/Weapon_HW_08,Weapon_HW_08_SM,2,Model/Weapon_HW_08_SM,0.6,1
9,Weapon_3008,,80109,1,Equip/Weapon_HW_09,Weapon_HW_09_SM,2,Model/Weapon_HW_09_SM,0.6,1
10,Weapon_3009,,80110,1,Equip/Weapon_HW_10,Weapon_HW_10_SM,2,Model/Weapon_HW_10_SM,0.6,1
11,Weapon_3010,,80111,1,Equip/Weapon_HW_11,Weapon_HW_11_SM,2,Model/Weapon_HW_11_SM,0.6,1
12,Weapon_3011,,80112,1,Equip/Weapon_HW_12,Weapon_HW_12_SM,2,Model/Weapon_HW_12_SM,0.6,1
1001,Weapon_3519,,80001,1,Equip/Weapon_S_01,Weapon_S_01_SM,2,Model/Weapon_S_01_SM,0.6,1
1002,Weapon_3520,,80002,1,Equip/Weapon_S_02,Weapon_S_02_SM,2,Model/Weapon_S_02_SM,0.6,1
1003,Weapon_3521,,80003,1,Equip/Weapon_S_03,Weapon_S_03_SM,2,Model/Weapon_S_03_SM,0.6,1
1004,Weapon_3522,,80004,1,Equip/Weapon_S_04,Weapon_S_04_SM,2,Model/Weapon_S_04_SM,0.6,1
1005,Weapon_3523,,80005,1,Equip/Weapon_S_05,Weapon_S_05_SM,2,Model/Weapon_S_05_SM,0.6,1
1006,Weapon_3524,,80006,1,Equip/Weapon_S_06,Weapon_S_06_SM,2,Model/Weapon_S_06_SM,0.6,1
1007,Weapon_3525,,80007,1,Equip/Weapon_S_07,Weapon_S_07_SM,2,Model/Weapon_S_07_SM,0.6,1
1008,Weapon_3526,,80008,1,Equip/Weapon_S_08,Weapon_S_08_SM,2,Model/Weapon_S_08_SM,0.6,1
1009,Weapon_3527,,80009,1,Equip/Weapon_S_09,Weapon_S_09_SM,2,Model/Weapon_S_09_SM,0.6,1
1010,Weapon_3528,,80010,1,Equip/Weapon_S_10,Weapon_S_10_SM,2,Model/Weapon_S_10_SM,0.6,1
1011,Weapon_3529,,80011,1,Equip/Weapon_S_11,Weapon_S_11_SM,2,Model/Weapon_S_11_SM,0.6,1
1012,Weapon_3530,,80012,1,Equip/Weapon_S_12,Weapon_S_12_SM,2,Model/Weapon_S_12_SM,0.6,1
10001,Clothes_6000,,80201,1,Equip/Cloth_01,Clothes_6000,2,Drop/Drop_055/Drop_055,1,1
10002,Clothes_6001,,80202,1,Equip/Cloth_02,Clothes_6001,2,Drop/Drop_055/Drop_055,1,1
10003,Clothes_6002,,80203,1,Equip/Cloth_03,Clothes_6002,2,Drop/Drop_055/Drop_055,1,1
10004,Clothes_6003,,80204,1,Equip/Cloth_04,Clothes_6003,2,Drop/Drop_055/Drop_055,1,1
10005,Clothes_6004,,80205,1,Equip/Cloth_05,Clothes_6004,2,Drop/Drop_055/Drop_055,1,1
10006,Clothes_6005,,80206,1,Equip/Cloth_06,Clothes_6005,2,Drop/Drop_055/Drop_055,1,1
10007,Clothes_6006,,80207,1,Equip/Cloth_07,Clothes_6006,2,Drop/Drop_055/Drop_055,1,1
10008,Clothes_6007,,80208,1,Equip/Cloth_08,Clothes_6007,2,Drop/Drop_055/Drop_055,1,1
10009,Clothes_6008,,80209,1,Equip/Cloth_09,Clothes_6008,2,Drop/Drop_055/Drop_055,1,1
10010,Clothes_6009,,80210,1,Equip/Cloth_10,Clothes_6009,2,Drop/Drop_055/Drop_055,1,1
11001,Shoes_9000,,80301,1,Equip/Shoes_01,Shoes_9000,2,Drop/Drop_055/Drop_055,1,1
11002,Shoes_9001,,80302,1,Equip/Shoes_02,Shoes_9001,2,Drop/Drop_055/Drop_055,1,1
11003,Shoes_9002,,80303,1,Equip/Shoes_03,Shoes_9002,2,Drop/Drop_055/Drop_055,1,1
11004,Shoes_9003,,80304,1,Equip/Shoes_04,Shoes_9003,2,Drop/Drop_055/Drop_055,1,1
11005,Shoes_9004,,80305,1,Equip/Shoes_05,Shoes_9004,2,Drop/Drop_055/Drop_055,1,1
11006,Shoes_9005,,80306,1,Equip/Shoes_06,Shoes_9005,2,Drop/Drop_055/Drop_055,1,1
11007,Shoes_9006,,80307,1,Equip/Shoes_07,Shoes_9006,2,Drop/Drop_055/Drop_055,1,1
11008,Shoes_9007,,80308,1,Equip/Shoes_08,Shoes_9007,2,Drop/Drop_055/Drop_055,1,1
11009,Shoes_9008,,80309,1,Equip/Shoes_09,Shoes_9008,2,Drop/Drop_055/Drop_055,1,1
11010,Shoes_9009,,80310,1,Equip/Shoes_10,Shoes_9009,2,Drop/Drop_055/Drop_055,1,1
12001,Necklace_7000,,80401,1,Equip/Necklace_01,Necklace_7000,2,Drop/Drop_055/Drop_055,1,1
12002,Necklace_7001,,80402,1,Equip/Necklace_02,Necklace_7001,2,Drop/Drop_055/Drop_055,1,1
12003,Necklace_7002,,80403,1,Equip/Necklace_03,Necklace_7002,2,Drop/Drop_055/Drop_055,1,1
12004,Necklace_7003,,80404,1,Equip/Necklace_04,Necklace_7003,2,Drop/Drop_055/Drop_055,1,1
12005,Necklace_7004,,80405,1,Equip/Necklace_05,Necklace_7004,2,Drop/Drop_055/Drop_055,1,1
12006,Necklace_7005,,80406,1,Equip/Necklace_06,Necklace_7005,2,Drop/Drop_055/Drop_055,1,1
12007,Necklace_7006,,80407,1,Equip/Necklace_07,Necklace_7006,2,Drop/Drop_055/Drop_055,1,1
12008,Necklace_7007,,80408,1,Equip/Necklace_08,Necklace_7007,2,Drop/Drop_055/Drop_055,1,1
12009,Necklace_7008,,80409,1,Equip/Necklace_09,Necklace_7008,2,Drop/Drop_055/Drop_055,1,1
12010,Necklace_7009,,80410,1,Equip/Necklace_10,Necklace_7009,2,Drop/Drop_055/Drop_055,1,1
13001,Rings_8000,,80501,1,Equip/Ring_01,Rings_8000,2,Drop/Drop_055/Drop_055,1,1
13002,Rings_8001,,80502,1,Equip/Ring_02,Rings_8001,2,Drop/Drop_055/Drop_055,1,1
13003,Rings_8002,,80503,1,Equip/Ring_03,Rings_8002,2,Drop/Drop_055/Drop_055,1,1
13004,Rings_8003,,80504,1,Equip/Ring_04,Rings_8003,2,Drop/Drop_055/Drop_055,1,1
13005,Rings_8004,,80505,1,Equip/Ring_05,Rings_8004,2,Drop/Drop_055/Drop_055,1,1
13006,Rings_8005,,80506,1,Equip/Ring_06,Rings_8005,2,Drop/Drop_055/Drop_055,1,1
13007,Rings_8006,,80507,1,Equip/Ring_07,Rings_8006,2,Drop/Drop_055/Drop_055,1,1
13008,Rings_8007,,80508,1,Equip/Ring_08,Rings_8007,2,Drop/Drop_055/Drop_055,1,1
13009,Rings_8008,,80509,1,Equip/Ring_09,Rings_8008,2,Drop/Drop_055/Drop_055,1,1
13010,Rings_8009,,80510,1,Equip/Ring_10,Rings_8009,2,Drop/Drop_055/Drop_055,1,1
20000,EquipResetMaterial,,1,1,EquipStuff01,EquipStuff01,1,Drop/Drop_055/Drop_055,1,1
60000,GamblingDiamond,,1,1,FB_005,FB_005,1,Drop/Drop_055/Drop_055,1,1
60001,GamblingWeapon,,1,1,FB_005,FB_005,2,Drop/Drop_055/Drop_055,1,1
60002,GamblingDefence,,1,1,FB_005,FB_005,3,Drop/Drop_055/Drop_055,1,1
60003,GamblingJwalry,,1,1,FB_005,FB_005,4,Drop/Drop_055/Drop_055,1,1
70001,Gem1-1,Atk,33001,34001,gem/gem_atk,FB_005,2,Drop/Gem/Gem4,1,999
70002,Gem1-2,Def,33002,34002,gem/gem_def,FB_005,2,Drop/Gem/Gem3,1,999
70003,Gem1-3,Str,33003,34003,gem/gem_str,FB_005,2,Drop/Gem/Gem4,1,999
70004,Gem1-4,Dec,33004,34004,gem/gem_dec,FB_005,3,Drop/Gem/Gem3,1,999
70005,Gem1-5,Int,33005,34005,gem/gem_int,FB_005,3,Drop/Gem/Gem5,1,999
70006,Gem2-1,Vit,33006,34006,gem/gem_vit,FB_005,3,Drop/Gem/Gem6,1,999
70007,Gem2-2,Fire Atk,33007,34007,gem/gem_fire_atk,FB_005,3,Drop/Gem/Gem4,1,999
70008,Gem2-3,Cold Atk,33008,34008,gem/gem_ice_atk,FB_005,4,Drop/Gem/Gem3,1,999
70009,Gem2-4,Lighting Atk,33009,34009,gem/gem_light_atk,FB_005,4,Drop/Gem/Gem5,1,999
70010,Gem2-5,Wind Atk,33010,34010,gem/gem_wind_atk,FB_005,4,Drop/Gem/Gem6,1,999
71000,anyGem1,anyGem1,35000,35001,FB_005,FB_005,4,Drop/Gem/Gem3,1,999
71001,anyGem2,anyGem2,35002,35003,FB_005,FB_005,4,Drop/Gem/Gem3,1,999
120000,Weapon_3000,,90000,1,Equip/Weapon_HW_01,Weapon_HW_01_SM,4,Drop/Drop_055/Drop_055,1,1
120001,Weapon_3001,,90001,1,Equip/Weapon_HW_02,Weapon_HW_02_SM,4,Drop/Drop_055/Drop_055,1,1
120002,Weapon_3002,,90002,1,Equip/Weapon_HW_03,Weapon_HW_03_SM,4,Drop/Drop_055/Drop_055,1,1
120003,Weapon_3003,,90003,1,Equip/Weapon_HW_04,Weapon_HW_04_SM,4,Drop/Drop_055/Drop_055,1,1
120004,Weapon_3004,,90004,1,Equip/Weapon_HW_05,Weapon_HW_05_SM,4,Drop/Drop_055/Drop_055,1,1
120005,Weapon_3005,,90005,1,Equip/Weapon_HW_06,Weapon_HW_06_SM,4,Drop/Drop_055/Drop_055,1,1
120006,Weapon_3006,,90006,1,Equip/Weapon_HW_07,Weapon_HW_07_SM,4,Drop/Drop_055/Drop_055,1,1
120007,Weapon_3007,,90007,1,Equip/Weapon_HW_08,Weapon_HW_08_SM,4,Drop/Drop_055/Drop_055,1,1
120008,Weapon_3008,,90008,1,Equip/Weapon_HW_09,Weapon_HW_09_SM,4,Drop/Drop_055/Drop_055,1,1
120009,Weapon_3009,,90009,1,Equip/Weapon_HW_10,Weapon_HW_10_SM,4,Drop/Drop_055/Drop_055,1,1
120010,Weapon_3010,,90010,1,Equip/Weapon_HW_11,Weapon_HW_11_SM,4,Drop/Drop_055/Drop_055,1,1
120011,Weapon_3011,,90011,1,Equip/Weapon_HW_12,Weapon_HW_12_SM,4,Drop/Drop_055/Drop_055,1,1
120012,Weapon_3010,,90012,1,Equip/Weapon_HW_11,Weapon_HW_11_SM,4,Drop/Drop_055/Drop_055,1,1
120013,Weapon_3011,,90013,1,Equip/Weapon_HW_12,Weapon_HW_12_SM,4,Drop/Drop_055/Drop_055,1,1
120100,Weapon_3519,,90014,1,Equip/Weapon_S_01,Weapon_S_01_SM,4,Drop/Drop_055/Drop_055,1,1
120101,Weapon_3520,,90015,1,Equip/Weapon_S_02,Weapon_S_02_SM,4,Drop/Drop_055/Drop_055,1,1
120102,Weapon_3521,,90016,1,Equip/Weapon_S_03,Weapon_S_03_SM,4,Drop/Drop_055/Drop_055,1,1
120103,Weapon_3522,,90017,1,Equip/Weapon_S_04,Weapon_S_04_SM,4,Drop/Drop_055/Drop_055,1,1
120104,Weapon_3523,,90018,1,Equip/Weapon_S_05,Weapon_S_05_SM,4,Drop/Drop_055/Drop_055,1,1
120105,Weapon_3524,,90019,1,Equip/Weapon_S_06,Weapon_S_06_SM,4,Drop/Drop_055/Drop_055,1,1
120106,Weapon_3525,,90020,1,Equip/Weapon_S_07,Weapon_S_07_SM,4,Drop/Drop_055/Drop_055,1,1
120107,Weapon_3526,,90021,1,Equip/Weapon_S_08,Weapon_S_08_SM,4,Drop/Drop_055/Drop_055,1,1
120108,Weapon_3527,,90022,1,Equip/Weapon_S_09,Weapon_S_09_SM,4,Drop/Drop_055/Drop_055,1,1
120109,Weapon_3528,,90023,1,Equip/Weapon_S_10,Weapon_S_10_SM,4,Drop/Drop_055/Drop_055,1,1
120110,Weapon_3529,,90024,1,Equip/Weapon_S_11,Weapon_S_11_SM,4,Drop/Drop_055/Drop_055,1,1
120111,Weapon_3530,,90025,1,Equip/Weapon_S_12,Weapon_S_12_SM,4,Drop/Drop_055/Drop_055,1,1
120112,Weapon_3529,,90026,1,Equip/Weapon_S_11,Weapon_S_11_SM,4,Drop/Drop_055/Drop_055,1,1
120113,Weapon_3530,,90027,1,Equip/Weapon_S_12,Weapon_S_12_SM,4,Drop/Drop_055/Drop_055,1,1
121001,Clothes_6000,,90028,1,Equip/Cloth_01,Clothes_6000,4,Drop/Drop_055/Drop_055,1,1
121002,Clothes_6001,,90029,1,Equip/Cloth_02,Clothes_6001,4,Drop/Drop_055/Drop_055,1,1
121003,Clothes_6002,,90030,1,Equip/Cloth_03,Clothes_6002,4,Drop/Drop_055/Drop_055,1,1
121004,Clothes_6003,,90031,1,Equip/Cloth_04,Clothes_6003,4,Drop/Drop_055/Drop_055,1,1
121005,Clothes_6004,,90032,1,Equip/Cloth_05,Clothes_6004,4,Drop/Drop_055/Drop_055,1,1
121006,Clothes_6005,,90033,1,Equip/Cloth_06,Clothes_6005,4,Drop/Drop_055/Drop_055,1,1
121007,Clothes_6006,,90034,1,Equip/Cloth_07,Clothes_6006,4,Drop/Drop_055/Drop_055,1,1
121008,Clothes_6007,,90035,1,Equip/Cloth_08,Clothes_6007,4,Drop/Drop_055/Drop_055,1,1
121009,Clothes_6008,,90036,1,Equip/Cloth_09,Clothes_6008,4,Drop/Drop_055/Drop_055,1,1
121010,Clothes_6009,,90037,1,Equip/Cloth_10,Clothes_6009,4,Drop/Drop_055/Drop_055,1,1
122001,Shoes_9000,,90038,1,Equip/Shoes_01,Shoes_9000,4,Drop/Drop_055/Drop_055,1,1
122002,Shoes_9001,,90039,1,Equip/Shoes_02,Shoes_9001,4,Drop/Drop_055/Drop_055,1,1
122003,Shoes_9002,,90040,1,Equip/Shoes_03,Shoes_9002,4,Drop/Drop_055/Drop_055,1,1
122004,Shoes_9003,,90041,1,Equip/Shoes_04,Shoes_9003,4,Drop/Drop_055/Drop_055,1,1
122005,Shoes_9004,,90042,1,Equip/Shoes_05,Shoes_9004,4,Drop/Drop_055/Drop_055,1,1
122006,Shoes_9005,,90043,1,Equip/Shoes_06,Shoes_9005,4,Drop/Drop_055/Drop_055,1,1
122007,Shoes_9006,,90044,1,Equip/Shoes_07,Shoes_9006,4,Drop/Drop_055/Drop_055,1,1
122008,Shoes_9007,,90045,1,Equip/Shoes_08,Shoes_9007,4,Drop/Drop_055/Drop_055,1,1
123001,Necklace_7000,,90046,1,Equip/Necklace_01,Necklace_7000,4,Drop/Drop_055/Drop_055,1,1
123002,Necklace_7001,,90047,1,Equip/Necklace_02,Necklace_7001,4,Drop/Drop_055/Drop_055,1,1
123003,Necklace_7002,,90048,1,Equip/Necklace_03,Necklace_7002,4,Drop/Drop_055/Drop_055,1,1
123004,Necklace_7003,,90049,1,Equip/Necklace_04,Necklace_7003,4,Drop/Drop_055/Drop_055,1,1
123005,Necklace_7004,,90050,1,Equip/Necklace_05,Necklace_7004,4,Drop/Drop_055/Drop_055,1,1
123006,Necklace_7005,,90051,1,Equip/Necklace_06,Necklace_7005,4,Drop/Drop_055/Drop_055,1,1
123007,Necklace_7006,,90052,1,Equip/Necklace_07,Necklace_7006,4,Drop/Drop_055/Drop_055,1,1
123008,Necklace_7007,,90053,1,Equip/Necklace_08,Necklace_7007,4,Drop/Drop_055/Drop_055,1,1
123009,Necklace_7008,,90054,1,Equip/Necklace_09,Necklace_7008,4,Drop/Drop_055/Drop_055,1,1
123010,Necklace_7009,,90055,1,Equip/Necklace_10,Necklace_7009,4,Drop/Drop_055/Drop_055,1,1
124001,Rings_8000,,90056,1,Equip/Ring_01,Rings_8000,4,Drop/Drop_055/Drop_055,1,1
124002,Rings_8001,,90057,1,Equip/Ring_02,Rings_8001,4,Drop/Drop_055/Drop_055,1,1
124003,Rings_8002,,90058,1,Equip/Ring_03,Rings_8002,4,Drop/Drop_055/Drop_055,1,1
124004,Rings_8003,,90059,1,Equip/Ring_04,Rings_8003,4,Drop/Drop_055/Drop_055,1,1
124005,Rings_8004,,90060,1,Equip/Ring_05,Rings_8004,4,Drop/Drop_055/Drop_055,1,1
124006,Rings_8005,,90061,1,Equip/Ring_06,Rings_8005,4,Drop/Drop_055/Drop_055,1,1
124007,Rings_8006,,90062,1,Equip/Ring_07,Rings_8006,4,Drop/Drop_055/Drop_055,1,1
124008,Rings_8007,,90063,1,Equip/Ring_08,Rings_8007,4,Drop/Drop_055/Drop_055,1,1
124009,Rings_8008,,90064,1,Equip/Ring_09,Rings_8008,4,Drop/Drop_055/Drop_055,1,1
124010,Rings_8009,,90065,1,Equip/Ring_10,Rings_8009,4,Drop/Drop_055/Drop_055,1,1
125000,Clothes_6009,,90100,1,Equip/Cloth_09,Clothes_6009,4,Drop/Drop_055/Drop_055,1,1
125001,Shoes_9000,,90100,1,Equip/Shoes_09,Shoes_9000,4,Drop/Drop_055/Drop_055,1,1
125002,Necklace_7009,,90100,1,Equip/Necklace_09,Necklace_7009,4,Drop/Drop_055/Drop_055,1,1
125003,Rings_8000,,90100,1,Equip/Ring_09,Rings_8000,4,Drop/Drop_055/Drop_055,1,1
126000,Clothes_6009,,90200,1,Equip/Cloth_08,Clothes_6009,4,Drop/Drop_055/Drop_055,1,1
126001,Shoes_9000,,90200,1,Equip/Shoes_08,Shoes_9000,4,Drop/Drop_055/Drop_055,1,1
126002,Necklace_7009,,90200,1,Equip/Necklace_08,Necklace_7009,4,Drop/Drop_055/Drop_055,1,1
126003,Rings_8000,,90200,1,Equip/Ring_08,Rings_8000,4,Drop/Drop_055/Drop_055,1,1
127000,Clothes_6009,,90300,1,Equip/Cloth_07,Clothes_6009,4,Drop/Drop_055/Drop_055,1,1
127001,Shoes_9000,,90300,1,Equip/Shoes_07,Shoes_9000,4,Drop/Drop_055/Drop_055,1,1
127002,Necklace_7009,,90300,1,Equip/Necklace_07,Necklace_7009,4,Drop/Drop_055/Drop_055,1,1
127003,Rings_8000,,90300,1,Equip/Ring_07,Rings_8000,4,Drop/Drop_055/Drop_055,1,1
128000,Clothes_6009,,90400,1,Equip/Cloth_06,Clothes_6009,4,Drop/Drop_055/Drop_055,1,1
